Auditoria de ruído e conforto acústico para escolas e hospitais
Laudos de impacto de vizinhança (EIV/RIV) para empreendimentos comerciais
Consultoria em logística reversa e compliance ambiental para indústrias e supermercados
Projetos de retrofit térmico e eficiência em frigoríficos e laticínios
Laudos e certificação estrutural para reforma de imóveis comerciais antigos
Instalação e certificação de sistemas de para-raios (SPDA) para condomínios e empresas
Consultoria em aproveitamento de águas pluviais em condomínios e escolas
Projetos de acessibilidade e certificação de calçadas urbanas
Avaliação técnica e certificação de eficiência de motores elétricos industriais
Consultoria em adequação de edifícios às normas de eficiência energética
